vg	-I(Vds)
Step Information: VÂ§tj=25 Vds=1  (Run: 1/6)
0.000000000000000e+000	4.585143e-006
2.000000000000000e-002	4.896246e-006
4.000000000000000e-002	5.228436e-006
6.000000000000000e-002	5.583140e-006
8.000000000000000e-002	5.961880e-006
1.000000000000000e-001	6.366281e-006
1.200000000000000e-001	6.798079e-006
1.400000000000000e-001	7.259125e-006
1.600000000000000e-001	7.751396e-006
1.800000000000000e-001	8.277000e-006
2.000000000000000e-001	8.838191e-006
2.200000000000000e-001	9.437370e-006
2.400000000000000e-001	1.007710e-005
2.600000000000000e-001	1.076013e-005
2.800000000000000e-001	1.148936e-005
3.000000000000000e-001	1.226793e-005
3.200000000000000e-001	1.309915e-005
3.400000000000000e-001	1.398658e-005
3.600000000000000e-001	1.493401e-005
3.800000000000001e-001	1.594547e-005
4.000000000000001e-001	1.702529e-005
4.200000000000001e-001	1.817806e-005
4.400000000000001e-001	1.940870e-005
4.600000000000001e-001	2.072245e-005
4.800000000000002e-001	2.212490e-005
5.000000000000001e-001	2.362201e-005
5.200000000000001e-001	2.522016e-005
5.400000000000002e-001	2.692612e-005
5.600000000000002e-001	2.874714e-005
5.800000000000002e-001	3.069096e-005
6.000000000000002e-001	3.276580e-005
6.200000000000002e-001	3.498047e-005
6.400000000000002e-001	3.734434e-005
6.600000000000003e-001	3.986741e-005
6.800000000000003e-001	4.256035e-005
7.000000000000003e-001	4.543454e-005
7.200000000000003e-001	4.850212e-005
7.400000000000003e-001	5.177601e-005
7.600000000000003e-001	5.527002e-005
7.800000000000004e-001	5.899886e-005
8.000000000000004e-001	6.297822e-005
8.200000000000004e-001	6.722483e-005
8.400000000000004e-001	7.175651e-005
8.600000000000004e-001	7.659227e-005
8.800000000000005e-001	8.175240e-005
9.000000000000005e-001	8.725848e-005
9.200000000000005e-001	9.313354e-005
9.400000000000005e-001	9.940213e-005
9.600000000000005e-001	1.060904e-004
9.800000000000005e-001	1.132262e-004
1.000000000000000e+000	1.208393e-004
1.020000000000001e+000	1.289614e-004
1.040000000000001e+000	1.376260e-004
1.060000000000001e+000	1.468693e-004
1.080000000000001e+000	1.567294e-004
1.100000000000001e+000	1.672471e-004
1.120000000000001e+000	1.784660e-004
1.140000000000001e+000	1.904322e-004
1.160000000000001e+000	2.031949e-004
1.180000000000001e+000	2.168068e-004
1.200000000000001e+000	2.313236e-004
1.220000000000001e+000	2.468049e-004
